No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 67072;2015-05-28T01:18:54-03:00;0;43150507526557004016550010000670721810774109-old.xml
NF 67072;2015-05-28T01:18:54-03:00;0;43150507526557004016550010000670721810774109-old.xml
NF 65485;2015-05-14T01:24:53-03:00;0;43150507526557004016550010000654851323810062-old.xml
NF 65485;2015-05-14T01:24:53-03:00;0;43150507526557004016550010000654851323810062-old.xml
NF 65485;2015-05-14T01:24:53-03:00;0;43150507526557004016550010000654851323810062-old.xml
NF 25922;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259221613425139-old.xml
NF 25922;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259221613425139-old.xml
NF 25922;2015-05-23T08:22:10-03:00;0;43150507526557003982550010000259221613425139-old.xml
NF 64615;2015-05-05T04:54:59-03:00;0;43150507526557004016550010000646151601906510-nfe.xml
NF 64615;2015-05-05T04:54:59-03:00;0;43150507526557004016550010000646151601906510-nfe.xml
NF 64615;2015-05-05T04:54:59-03:00;0;43150507526557004016550010000646151601906510-nfe.xml
NF 67228;2015-05-29T02:09:53-03:00;0;43150507526557004016550010000672281219690910-old.xml
NF 67228;2015-05-29T02:09:53-03:00;0;43150507526557004016550010000672281219690910-old.xml
NF 67228;2015-05-29T02:09:53-03:00;0;43150507526557004016550010000672281219690910-old.xml
NF 65842;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658421505686639-old.xml
NF 65768;2015-05-16T01:31:28-03:00;0;43150507526557004016550010000657681256026356-nfe.xml
NF 65768;2015-05-16T01:31:28-03:00;0;43150507526557004016550010000657681256026356-nfe.xml
NF 26018;2015-05-26T08:18:51-03:00;0;43150507526557003982550010000260181333451256-old.xml
NF 26018;2015-05-26T08:18:51-03:00;0;43150507526557003982550010000260181333451256-old.xml
NF 26018;2015-05-26T08:18:51-03:00;0;43150507526557003982550010000260181333451256-old.xml
NF 64745;2015-05-06T09:06:48-03:00;0;43150507526557004016550010000647451927175849-nfe.xml
NF 25455;2015-05-14T09:19:01-03:00;0;43150507526557003982550010000254551769582693-old.xml
NF 25455;2015-05-14T09:19:01-03:00;0;43150507526557003982550010000254551769582693-old.xml
NF 25455;2015-05-14T09:19:01-03:00;0;43150507526557003982550010000254551769582693-old.xml
NF 65262;2015-05-12T02:15:51-03:00;0;43150507526557004016550010000652621663997880-old.xml
NF 67245;2015-05-29T04:09:54-03:00;0;43150507526557004016550010000672451786932866-old.xml
NF 67245;2015-05-29T04:09:54-03:00;0;43150507526557004016550010000672451786932866-old.xml
NF 25533;2015-05-15T11:57:49-03:00;0;43150507526557003982550010000255331272749047-nfe.xml
NF 65523;2015-05-14T05:24:58-03:00;0;43150507526557004016550010000655231549532600-old.xml
NF 66160;2015-05-20T05:36:54-03:00;0;43150507526557004016550010000661601036273595-old.xml
NF 65982;2015-05-19T04:31:00-03:00;0;43150507526557004016550010000659821268119583-old.xml
NF 66133;2015-05-20T01:18:57-03:00;0;43150507526557004016550010000661331164715933-old.xml
NF 66133;2015-05-20T01:18:57-03:00;0;43150507526557004016550010000661331164715933-old.xml
NF 66133;2015-05-20T01:18:57-03:00;0;43150507526557004016550010000661331164715933-old.xml
NF 64494;2015-05-04T00:37:08-03:00;0;43150507526557004016550010000644941740265109-old.xml
NF 64494;2015-05-04T00:37:08-03:00;0;43150507526557004016550010000644941740265109-old.xml
NF 64494;2015-05-04T00:37:08-03:00;0;43150507526557004016550010000644941740265109-old.xml
NF 66983;2015-05-27T10:37:04-03:00;0;43150507526557004016550010000669831514972854-old.xml
NF 66983;2015-05-27T10:37:04-03:00;0;43150507526557004016550010000669831514972854-old.xml
NF 66983;2015-05-27T10:37:04-03:00;0;43150507526557004016550010000669831514972854-old.xml
NF 65841;2015-05-18T01:12:56-03:00;0;43150507526557004016550010000658411728035339-old.xml
